FT8DMC
FT8 Digital Mode Club
K1JT;00000
OE4VIE;00001
OE6VIE;00001
OE3SGU;00002
OE1SGU;00002
OE4YLA;00003
9A3YLA;00003
OE6ZLA;00003
DJ6OI;00004
ON4VT;00005
F1ABL;00006
N1SER;00007 
WB4QOJ;00008 
IX1AMY;00009 
N2ADV;00010
UA1ZFG;00011 
N6OIL;00012
OH3LCH;00013 
KB1WLB;00014 
N0SMX;00015
PA7RA;00016 
YO3BIZ;00017 
PU2MNQ;00018 
N3JIX;00019
WC3B;00019
K7ZOV;00020
N0MXI;00021
NR0W;00021
KD5FOY;00022 
UR5WCA;00023
KK3Q;00024
CX5RZ;00025
M0FLF;00026 
KG6SVF;00027 
YE1AR;00028
NO1R;00029
ON3LA;00030 
N7MDW;00031 
VE3CGR;00032 
DO1IP;00033
W8RD;00034
N8CGY;00035 
NQ6Y;00036
IK2HNG;00037 
YC4GBN;00038
YB4GBN;00038 
PA3HIZ;00039 
VE9DX;00040
K4CGA;00041
ON3LX;00042
ON8LX;00042
PD1AW;00043
VE9ZZ;00044
K8PJK;00045
PU4MHO;00047 
PU5IKE;00048
KJ0I;00049
N5SDD;00050
CT1FOQ;00051 
SP7SMF;00052
MM6BYB;00053
PE1PIN;00054
WB2QJ;00055
K7SKE;00056
SP8SN;00057
PA3CQF;00058
KE4SU;00059
DK8MCT;00060
KG5GCC;00061
IK1QEW;00062
YV5AJI;00063
K4NDN;00064
YO8SEP;00065
W6AAJ;00066
VE3NPI;00067
KC2P;00068
PD0NUD;00069
WS2K;00070
CE6UBP;00071
W6PD;00072
OH1MN;00073
PU2YXW;00074
JA1OZZ;00075
HA4VI;00076
W6MJS;00077
KG2C;00078
KA1DAX;00079
KF7YBT;00080
W8KER;00081
N4SRN;00082
EA5WO;00083
9A9Y;00084
MI0ULK;00085
HS7WMU;00086
VK2RT;00087
W2GLH;0088
4F4IX;00089
KA1OWC;00090
KV8P;00091
W1DGL;00092
W4WNT;00093
K3NP;00094
YE4IJ;00095
WA2NDV;00096
LU5FF;00097
K8MDA;00098
4F3BZ;00099
KI4SH;00100
JH1DIS;00101
K8JEH;00102
JA5FNX;00103
K1BBA;00104
OM5NA;00105
VK3XZ;00106
SQ4KKG;00107
M1BCM;00108
YC2VOC;00109
F4HHL;00110
9A2MF;00111
M0GGO;00112
DU1OE;00113
US5LOC;00114
IU4DTV;00115
DK7OG;00116
IU1BSV;00117
ON3MK;00118
VE3TMT;00119
JE6JNC;00120
EA2AA;00121
M0TRJ;00122
ON3BZA;00123
NW7US;00124
ON5AM;00125
G0CER;00126
YE6YE;00127
AD5LU;00128
N7QVU;00129
N6NR;00130
YL2CA;00131
VA3JTN;00132
00133;KA9YKB;
00134;IV3KAS;
00135;WB8JUI;
00136;2E0OXF;
00137;M3LOX;
00138;PY2XX;
00138;PY2XZ 
00139;K3BYU 
00139;WA7L
00140;W7PSK 
00141;PU9ATH 
00142;KB8SSH 
00143;LU3CM
00144;LU4FW 
00145;LU1FKR 
00146;CX1RK 
00147;KD4BEE 
00148;N0FIB 
00149;LU3HBO 
00150;WB7AJP 
00151;KW4PL 
00152;IT9EYV 
00153;PD5L
00154;ZS6WN 
00155;K7AZJ 
00156;W3BRB 
00157;LU9XT 
00158;KA0KVW 
00159;ON5PO 
00160;LU5FLM 
00161;LU2FGL 
00162;PU2WSQ 
00163;OO6A
00164;W6LU 
00165;W6CDB 
00166;IK1HGI 
00167;7X2KF 
00168;M0KJI 
00169;W9ZED 
00170;W0EOD 
00171;HK3W 
00172;PY2NX 
00173;WD5GBS 
00174;K3BAK 
00176;N4DLT 
00177;ZP6ARO 
00178;LU7ECO 
00179;KB6IBB 
00180;VE5UO 
00181;N3GAR 
00182;PY2RT 
00183;LU6UBM 
00184;M6DRS 
00185;DL1PV 
00186;F17468 
00187;2E0XUZ 
00188;LU6FHO 
00189;F8CRS 
00190;IK1BPL 
00191;EB5AG 
00192;LU2BN 
00193;AF4K 
00194;YLRS01 
00195;WK3N 
00196;M0MVB 
00197;OH8J 
00199;SO5HME 
00200;CX6DT 
00201;PA3FYG 
00202;SP5SMY 
00203;VE3FDZ 
00204;S50B 
00205;N2JNZ 
00206;KE8BHX 
00207;CX8ABF 
00208;KD8AJK 
00209;VE6DV 
00210;DM2RM 
00211;DL5AWI 
00212;YL3ID 
00213;PY2OK 
00214;LU8FLDB 
00215;KD1GQ 
00216;LW5DR 
00217;M1EBU 
00218;VR2UPU 
00219;BG4RDL 
00220;BH4UTT 
00221;BA4TB 
00222;SQ4OAG 
00223;EA8DE 
00224;ZS1ALJ 
00225;SQ9JXB 
00226;DG8KAD 
00227;YB2VMC 
00228;YD0SDD 
00229;KD9ERS 
00230;W4GHV 
00231;YV5GRV 
00233;LW7EDH 
00234;YB6DE 
00237;IK1SOW 
00246;PA3FOE 
00248;YV5MBI 
00252;OK2RO
00253;XE2EX 
00256;YC6BTI
00258;NP3DM 
00260;VK3BDX 
00268;WP4BRI 
00269;NP4RA 
00269;NP3V 
00279;SV3RNJ 
00288;YV5TNT 
00294;LZ1SJ 
00297;CX4BAN 
00306;EA2NR 
00307;OE6JVE 
00322;9A6T 
00328;IZ3XNJ 
00333;IU2IGX 
00345;US8UA 
00348;ZL1MVL 
00353;OT4B 
00354;M0SCK 
00361;I0KQB 
00364;F1DSZ 
00367;F5PEY 
00375;W5MMW 
00376;DL7AG 
00379;KD8WBZ 
00391;F4ESV 
00393;9A7BB 
00400;ND2K 
00417;YV1SW 
00421;SP9JP 
00424;N4LKB 
00428;W5TMP 
00431;EU1CR 
00437;VE2GT 
00443;OH1EDK 
00462;DL2PK 
00472;K6TB 
00473;KW7A 
00481;UA9OTW 
00483;XE2NK 
00485;IZ8XXE 
00487;VE2EBK 
00488;K8YK 
00490;K3LH 
00493;RA3TOS 
00515;DL9SAD 
00516;KD8VSQ 
00516;K8JAD 
